City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
Lerwick,60.15,-1.15,13.0,93,58,1.0,GB,1596689754
Rawson,-43.3,-65.1,7.47,55,0,13.12,AR,1596689759
Kenai,60.55,-151.26,17.0,67,90,4.6,US,1596690332
Bunia,1.57,30.25,17.17,95,81,1.84,CD,1596690333
Kutum,14.2,24.67,20.63,86,73,3.98,SD,1596690333
Bafoulabé,13.81,-10.83,23.38,93,100,2.27,ML,1596690334
Volosovo,59.43,29.48,15.0,77,35,2.15,RU,1596690334
Portland,45.52,-122.68,22.0,53,20,3.1,US,1596690213
Truth or Consequences,33.13,-107.25,27.22,34,1,2.6,US,1596690334
Teya,60.38,92.63,24.61,42,1,1.92,RU,1596690335
Saint-François,46.42,3.91,12.22,81,30,0.5,FR,1596690335
Vila Franca do Campo,37.72,-25.43,20.0,88,20,2.6,PT,1596690335
Bayan,46.08,127.4,26.67,61,62,2.1,CN,1596690335
Chingola,-12.53,27.88,11.49,62,0,2.09,ZM,1596690336
Bela,25.93,81.98,31.52,67,68,9.86,IN,1596690336
Paka,4.64,103.44,31.0,70,40,2.6,MY,1596690336
Xai-Xai,-25.05,33.64,14.72,91,0,2.64,MZ,1596690337
Chabahar,25.29,60.64,31.41,63,0,2.61,IR,1596690337
Ginda,30.69,78.49,27.1,53,58,2.27,IN,1596690337
Pevek,69.7,170.31,1.59,97,100,1.38,RU,1596690338
Kibala,9.11,18.35,21.37,96,100,1.64,TD,1596690338
Ponta do Sol,32.67,-17.1,22.0,73,40,1.5,PT,1596690338
Strand,-34.11,18.83,10.0,93,75,2.1,ZA,1596690338
Cranbourne,-38.1,145.28,12.78,64,33,4.08,AU,1596690339
Moerai,-22.43,-151.33,22.34,82,100,7.19,PF,1596690339
Taoudenni,22.68,-3.98,35.72,36,54,5.4,ML,1596690339
Mopipi,-21.18,24.88,10.13,45,0,3.13,BW,1596690339
Mandera,3.94,41.87,25.63,58,41,7.04,KE,1596690340
Ostrovnoy,68.05,39.51,15.18,81,56,6.66,RU,1596689742
Hualmay,-11.1,-77.61,14.64,82,18,4.27,PE,1596690340
Chilliwack,49.17,-121.94,23.0,63,20,3.1,CA,1596690026
Flinders,-34.58,150.86,15.0,28,3,3.1,AU,1596690341
Sangar,63.92,127.47,24.85,36,0,0.67,RU,1596690341
Usakos,-22.0,15.6,4.61,71,0,0.76,NA,1596690341
Dhandhuka,22.37,71.98,27.48,88,100,7.08,IN,1596690341
Frontera,26.93,-101.45,30.0,53,0,4.47,MX,1596690342
Atar,20.52,-13.05,27.31,58,0,5.04,MR,1596690342
Pedersore,63.65,22.68,13.89,100,90,3.1,FI,1596690342
Lavrentiya,65.58,-171.0,7.25,71,100,6.04,RU,1596690342
La Tebaida,4.45,-75.79,17.13,79,100,1.62,CO,1596690343
Bariloche,-41.15,-71.31,1.0,93,75,6.2,AR,1596690245
São João da Barra,-21.64,-41.05,20.02,74,5,4.19,BR,1596690343
Pacific Grove,36.62,-121.92,16.67,89,17,1.79,US,1596690343
Iskateley,67.68,53.15,15.47,83,100,10.32,RU,1596690344
Grindavik,63.84,-22.43,9.0,93,75,6.2,IS,1596690344
Oshakati,-17.78,15.68,9.31,49,0,1.83,NA,1596690344
Ukiah,39.15,-123.21,19.0,63,1,3.6,US,1596690345
Saint-Leu,-21.15,55.28,21.11,64,90,3.1,RE,1596690345
Yarmouth,41.71,-70.23,23.89,83,1,4.1,US,1596690345
Pangnirtung,66.15,-65.71,7.73,85,100,1.44,CA,1596689768
Leshukonskoye,64.9,45.76,16.78,81,30,3.88,RU,1596690346
Arkhara,49.42,130.08,16.1,87,100,2.95,RU,1596690346
Bratsk,56.13,101.61,18.0,82,99,2.0,RU,1596690346
Saint-Joseph,-21.37,55.62,21.11,64,90,3.1,RE,1596690347
Askino,56.09,56.58,23.69,78,66,3.62,RU,1596690347
Belmopan,17.25,-88.77,24.44,89,100,0.91,BZ,1596690055
Skellefteå,64.75,20.95,13.0,93,39,1.25,SE,1596690347
Guajará,-2.97,-57.67,26.01,64,57,0.5,BR,1596690348
Kahului,20.89,-156.47,29.0,58,40,8.2,US,1596690348
Tromsø,69.65,18.96,10.0,93,4,7.2,NO,1596690130
Bitkine,11.98,18.21,22.1,94,100,2.51,TD,1596690348
Bud,39.45,-86.18,16.11,92,0,2.63,US,1596690349
San Matías,-16.37,-58.4,21.92,36,0,1.37,BO,1596690349
Cortez,37.35,-108.59,22.0,37,1,5.34,US,1596690349
Okhotsk,59.38,143.3,18.31,61,0,3.87,RU,1596690349
Guasdualito,7.24,-70.73,22.63,93,59,1.26,VE,1596690350
Sampit,-2.53,112.95,33.0,52,82,1.91,ID,1596690350
Campo Maior,-4.83,-42.17,23.86,52,41,2.55,BR,1596690350
Port Augusta,-32.5,137.77,10.0,71,90,4.6,AU,1596690351
Finschhafen,-6.6,147.87,27.93,75,97,2.84,PG,1596690351
Moshupa,-24.78,25.42,8.0,52,0,3.6,BW,1596690351
Storforshei,66.4,14.52,10.56,87,57,0.5,NO,1596690352
Altamira,-3.2,-52.21,22.25,63,0,0.61,BR,1596690352
Djambala,-2.54,14.75,18.65,89,90,2.25,CG,1596690127
Mâncio Lima,-7.61,-72.9,21.68,75,0,0.31,BR,1596690352
Pontes e Lacerda,-15.23,-59.34,21.3,38,0,1.22,BR,1596690353
Yangi Marg`ilon,40.43,71.72,33.0,21,0,4.1,UZ,1596690353
Nome,64.5,-165.41,13.0,66,90,1.5,US,1596690353
Camaçari,-12.7,-38.32,24.0,83,75,6.2,BR,1596690354
Trairi,-3.28,-39.27,25.12,65,0,5.41,BR,1596690297
Half Moon Bay,37.46,-122.43,17.78,87,90,4.6,US,1596690354
Makkah al Mukarramah,21.43,39.83,30.29,61,0,6.68,SA,1596690354
Ketchikan,55.34,-131.65,13.0,93,90,4.1,US,1596690355
Villa Carlos Paz,-31.42,-64.5,17.22,63,27,6.7,AR,1596690355
Vanimo,-2.67,141.3,25.22,89,100,3.01,PG,1596690355
Znamenskoye,57.13,73.83,26.49,61,21,2.64,RU,1596690355
Bonnyville,54.27,-110.73,22.0,64,20,1.0,CA,1596690356
Kansanshi,-12.1,26.43,10.37,57,0,1.38,ZM,1596690356
Banjar,-8.19,114.97,28.0,69,20,6.2,ID,1596690356
Erdenet,49.03,104.08,22.14,63,2,2.55,MN,1596690357
Āmli,20.28,73.02,27.03,88,97,2.57,IN,1596690357
Tuatapere,-46.13,167.68,10.56,81,100,2.19,NZ,1596690357
Piúma,-20.84,-40.72,19.32,77,61,0.87,BR,1596690357
Havre-St-Pierre,50.23,-63.6,18.0,93,1,2.6,CA,1596690358
Nkowakowa,-23.89,30.29,17.78,54,12,2.68,ZA,1596690358
Antofagasta,-23.65,-70.4,14.0,76,90,3.6,CL,1596690358
Huarmey,-10.07,-78.15,14.7,85,13,3.82,PE,1596690359
College,64.86,-147.8,23.0,49,40,2.6,US,1596689842
Cefalù,38.04,14.02,21.11,75,53,0.89,IT,1596690359
Nur-Sultan,51.18,71.45,26.0,34,0,8.0,KZ,1596690333
Celestún,20.87,-90.4,27.12,81,0,5.64,MX,1596690360
Stanley,-51.7,-57.85,4.0,93,75,5.1,FK,1596690183
Mazatán,14.87,-92.45,23.0,100,90,2.6,MX,1596690360
Cravo Norte,6.3,-70.2,23.64,90,6,2.74,CO,1596690361
Hammerfest,70.66,23.68,10.0,93,15,1.0,NO,1596690343
Shimokizukuri,40.81,140.39,30.0,74,75,1.5,JP,1596690361
Gizo Government Station,-8.1,156.84,29.09,74,48,4.02,SB,1596690361
Pisco,-13.7,-76.22,14.0,87,40,0.5,PE,1596690083
Pochutla,15.74,-96.47,25.0,91,78,1.2,MX,1596690362
Argir,62.0,-6.77,10.0,100,42,4.6,FO,1596690362
Nowe Miasto Lubawskie,53.42,19.6,18.89,78,1,0.45,PL,1596690362
Codrington,-38.27,141.97,11.52,74,13,6.68,AU,1596689843
Savelugu,9.62,-0.83,22.29,71,100,1.84,GH,1596690363
Aginskoye,51.1,114.53,20.04,71,99,2.54,RU,1596690363
Keti Bandar,24.14,67.45,31.82,69,100,7.22,PK,1596690363
Springbok,-29.66,17.89,-0.68,98,0,1.42,ZA,1596690364
Bandundu Province,-3.32,17.37,24.18,63,97,1.47,CD,1596690364
Westport,41.14,-73.36,22.22,79,0,2.74,US,1596690349
Egvekinot,66.32,-179.17,6.55,69,98,0.18,RU,1596690364
Bilma,18.69,12.92,32.9,33,23,1.44,NE,1596689870
Sydney,-33.87,151.21,15.56,35,0,4.6,AU,1596690365
Port-Cartier,50.03,-66.87,15.0,93,20,2.6,CA,1596690365
Gloucester,51.87,-2.24,16.67,92,79,2.71,GB,1596690077
Broken Hill,-31.95,141.43,10.0,39,40,9.3,AU,1596689619
Arrondissement de Niort,46.33,-0.33,18.33,71,0,3.65,FR,1596690251
Lusambo,-4.97,23.45,20.48,84,1,0.28,CD,1596690366
Vilhena,-12.74,-60.15,19.91,42,0,1.89,BR,1596689868
Scarborough,54.28,-0.4,16.67,89,69,0.45,GB,1596689831
Nuuk,64.18,-51.72,9.0,81,0,6.2,GL,1596690367
Kalabo,-14.97,22.68,11.59,43,0,2.83,ZM,1596690367
Bowen,-20.02,148.23,24.0,64,40,6.2,AU,1596690368
Abhā,18.22,42.51,19.0,93,40,2.6,SA,1596689528
Falmouth,50.15,-5.07,16.67,100,62,1.5,GB,1596690368
Dauphin,51.15,-100.05,18.0,88,1,3.1,CA,1596690368
Riyadh,24.69,46.72,32.0,15,51,5.7,SA,1596690323
Zyryanka,65.75,150.85,25.2,21,1,4.61,RU,1596690369
Kimbe,-5.55,150.14,28.87,78,67,1.35,PG,1596690369
Mercedes,-34.65,-59.43,17.78,36,70,3.58,AR,1596690370
Barreirinha,-2.79,-57.07,25.04,67,51,0.31,BR,1596690370
Jijiga,9.35,42.8,16.32,83,100,8.11,ET,1596690370
Ramsar,36.92,50.64,22.0,88,75,1.0,IR,1596690371
Buta,2.79,24.73,20.63,98,96,0.7,CD,1596690371
Safford,32.83,-109.71,32.0,21,1,3.1,US,1596690371
Mwinilunga,-11.74,24.43,10.67,53,3,0.99,ZM,1596690372
Quzhou,28.96,118.87,30.15,69,96,2.11,CN,1596690372
Bara,10.37,10.73,21.69,94,99,4.86,NG,1596689806
Mala,-12.66,-76.63,15.01,78,62,1.71,PE,1596690372
Thunder Bay,48.4,-89.32,16.67,82,5,2.1,CA,1596690263
Baraboo,43.47,-89.74,15.56,93,1,1.85,US,1596690373
Carinhanha,-14.3,-43.77,16.41,77,1,3.27,BR,1596690373
Mayor Pablo Lagerenza,-19.93,-60.77,22.36,38,0,2.67,PY,1596690373
Aloleng,16.13,119.78,31.97,64,75,1.84,PH,1596690374
Anadyr,64.75,177.48,12.0,62,40,6.0,RU,1596690374
Nam Som,17.77,102.19,30.56,100,90,2.1,TH,1596690374
Kirensk,57.79,108.11,29.47,33,0,2.0,RU,1596690375
Namysłów,51.08,17.72,14.44,87,69,0.5,PL,1596690375
Santa Barbara,34.42,-119.7,17.0,88,1,3.1,US,1596690375
Paphos,34.77,32.42,26.67,73,40,2.1,CY,1596690376
Buala,-8.14,159.59,29.21,74,49,4.57,SB,1596690376
Askarovo,53.34,58.51,23.0,60,0,8.0,RU,1596690376
Ankazoabo,-22.28,44.52,18.02,69,1,2.33,MG,1596690377
Baruun-Urt,46.68,113.28,27.6,36,6,1.8,MN,1596690377
Tiarei,-17.53,-149.33,26.0,69,40,3.1,PF,1596690377
